start,end,duration
2017-10-03 01:45:00,2017-10-03 03:40:00,0 days 01:55:00
2017-10-03 03:50:00,2017-10-03 04:00:00,0 days 00:10:00
2017-10-03 04:10:00,2017-10-03 04:45:00,0 days 00:35:00
2017-10-03 05:35:00,2017-10-03 05:50:00,0 days 00:15:00
2017-10-03 06:05:00,2017-10-03 06:15:00,0 days 00:10:00
2017-10-03 06:20:00,2017-10-03 06:25:00,0 days 00:05:00
2017-10-03 06:30:00,2017-10-03 06:35:00,0 days 00:05:00
2017-10-03 06:40:00,2017-10-03 06:55:00,0 days 00:15:00
2017-10-03 07:15:00,2017-10-03 08:45:00,0 days 01:30:00
2017-10-03 09:00:00,2017-10-03 10:00:00,0 days 01:00:00
2017-10-05 16:15:00,2017-10-05 16:20:00,0 days 00:05:00
2017-10-05 16:40:00,2017-10-05 16:50:00,0 days 00:10:00
2017-10-05 16:55:00,2017-10-06 02:25:00,0 days 09:30:00
2017-10-06 02:30:00,2017-10-06 04:30:00,0 days 02:00:00
2017-10-06 08:30:00,2017-10-06 11:05:00,0 days 02:35:00
2017-10-06 13:15:00,2017-10-06 13:35:00,0 days 00:20:00
2017-10-06 15:15:00,2017-10-06 15:20:00,0 days 00:05:00
2017-10-06 15:50:00,2017-10-06 16:00:00,0 days 00:10:00
2017-10-06 16:20:00,2017-10-06 16:35:00,0 days 00:15:00
2017-10-06 17:00:00,2017-10-06 17:05:00,0 days 00:05:00
2017-10-06 17:10:00,2017-10-06 17:35:00,0 days 00:25:00
2017-10-06 17:45:00,2017-10-06 23:05:00,0 days 05:20:00
2017-10-06 23:35:00,2017-10-06 23:40:00,0 days 00:05:00
2017-10-06 23:50:00,2017-10-07 00:05:00,0 days 00:15:00
2017-10-07 00:10:00,2017-10-07 02:00:00,0 days 01:50:00
2017-10-07 02:05:00,2017-10-07 11:25:00,0 days 09:20:00
2017-10-07 12:55:00,2017-10-07 13:00:00,0 days 00:05:00
2017-10-07 13:05:00,2017-10-07 13:55:00,0 days 00:50:00
2017-10-07 14:00:00,2017-10-07 14:15:00,0 days 00:15:00
2017-10-07 14:35:00,2017-10-07 14:50:00,0 days 00:15:00
2017-10-07 14:55:00,2017-10-07 15:00:00,0 days 00:05:00
2017-10-07 15:15:00,2017-10-07 15:30:00,0 days 00:15:00
2017-10-07 15:35:00,2017-10-07 15:50:00,0 days 00:15:00
2017-10-07 16:10:00,2017-10-07 16:15:00,0 days 00:05:00
2017-10-07 16:40:00,2017-10-07 16:50:00,0 days 00:10:00
2017-10-07 17:05:00,2017-10-07 17:20:00,0 days 00:15:00
2017-10-07 17:30:00,2017-10-07 17:40:00,0 days 00:10:00
2017-10-07 17:50:00,2017-10-08 00:15:00,0 days 06:25:00
2017-10-08 01:35:00,2017-10-08 02:05:00,0 days 00:30:00
2017-10-08 02:15:00,2017-10-08 03:05:00,0 days 00:50:00
2017-10-08 03:10:00,2017-10-08 03:40:00,0 days 00:30:00
2017-10-08 03:50:00,2017-10-08 10:35:00,0 days 06:45:00
2017-10-08 13:05:00,2017-10-08 13:20:00,0 days 00:15:00
2017-10-08 13:25:00,2017-10-08 13:30:00,0 days 00:05:00
2017-10-08 13:50:00,2017-10-08 14:20:00,0 days 00:30:00
2017-10-08 14:35:00,2017-10-08 14:40:00,0 days 00:05:00
2017-10-08 14:55:00,2017-10-08 15:00:00,0 days 00:05:00
2017-10-08 15:05:00,2017-10-08 15:15:00,0 days 00:10:00
2017-10-08 15:45:00,2017-10-08 15:55:00,0 days 00:10:00
2017-10-08 16:10:00,2017-10-08 16:20:00,0 days 00:10:00
2017-10-08 16:40:00,2017-10-08 17:25:00,0 days 00:45:00
2017-10-08 17:30:00,2017-10-09 00:10:00,0 days 06:40:00
2017-10-09 00:45:00,2017-10-09 00:50:00,0 days 00:05:00
2017-10-09 01:05:00,2017-10-09 01:15:00,0 days 00:10:00
2017-10-09 01:50:00,2017-10-09 01:55:00,0 days 00:05:00
2017-10-09 02:05:00,2017-10-09 02:10:00,0 days 00:05:00
2017-10-09 02:15:00,2017-10-09 02:25:00,0 days 00:10:00
2017-10-09 02:40:00,2017-10-09 11:35:00,0 days 08:55:00
2017-10-09 12:55:00,2017-10-09 13:00:00,0 days 00:05:00
2017-10-09 13:25:00,2017-10-09 13:45:00,0 days 00:20:00
2017-10-09 13:50:00,2017-10-09 14:25:00,0 days 00:35:00
2017-10-09 14:30:00,2017-10-09 14:40:00,0 days 00:10:00
2017-10-09 14:45:00,2017-10-09 15:00:00,0 days 00:15:00
2017-10-09 15:10:00,2017-10-09 15:20:00,0 days 00:10:00
2017-10-09 15:30:00,2017-10-09 16:05:00,0 days 00:35:00
2017-10-09 17:05:00,2017-10-10 10:50:00,0 days 17:45:00
2017-10-10 11:00:00,2017-10-10 11:25:00,0 days 00:25:00
